Assembly,References,Quantity,Manufacturer,MPN,Mounting method,Population method
mchstreamer-dual-cable-interface,J10 J11,2,Samtec,TMM-106-01-L-D,vertical_through_hole,hand solder exact connector lots
molex-micro-fit-power-input,J9,1,Molex,43650-0200,right_angle_through_hole,hand solder exact connector lots
molex-micro-fit-spoke-bank,J1 J2 J3 J4 J5 J6 J7 J8,8,Molex,43650-0400,right_angle_through_hole,hand solder exact connector lots
