day,records,input_tokens,cached_input_tokens,noncached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,total_tokens,cache_fraction_of_input
2026-09-10,1099,151230704,146520832,4709872,0,741179,238183,151971883,0.9688563772076337
2026-09-11,1806,247419894,240588800,6831094,0,1131366,344011,248551260,0.9723906841541206
2026-09-12,2126,292118633,282486016,9632617,0,1314079,359903,293432712,0.9670249826206738
2026-09-13,2024,276519644,269099904,7419740,0,1161772,339810,277681416,0.9731674036149128
2026-09-14,3044,422675786,412889600,9786186,0,1341339,364951,424017125,0.9768470626325398
2026-09-15,4027,552323566,540137216,12186350,0,1470392,442039,553793958,0.9779362121224427
2026-09-16,3500,485490057,475077888,10412169,0,1229611,293587,486719668,0.9785532806493707
2026-09-17,410,61888679,60617600,1271079,0,111295,21492,61999974,0.9794618495573318
2026-09-20,121,15681779,15098624,583155,0,66643,19273,15748422,0.9628132114347485
