LCSC,Ref,Status,Detail
C106231,R_CFG2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60491,R_AUDIO_PD,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B1N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B1P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B2N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B2P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B3N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B3P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B4N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B4P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B5N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B5P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B6N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B6P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B7N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B7P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B8N,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_B8P,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_CFG5,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_DUMP_PD,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_DUMP_TIME1,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_DUMP_TIME2,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_PRE_G,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_QIN_G,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_RESET_GPD,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C60491,R_RST_T,OK,fit=0.08mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_AUDIO,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_BUCK_BST,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_CLK,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_DUMP_LOGIC,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO1,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO2,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO3,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO4,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO5,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO6,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO7,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_ISO8,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_LDO_EN,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_OE,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_OPA1,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_OPA2,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_OPA3,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
C1525,C_OPA4,OK,fit=0.06mm jlc_offset=0 db=0.0 src=lcsc
