Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
C3761431 prelayout exact-code probe,"F1,F2,F3,F4,F5,F6,F7,F8",,C3761431,8,40,40,1823,OK,C3761431,expand,1863,1812L035/60MR,Littelfuse,1812,0.2408
C389010 prelayout exact-code probe,"C_LDO_A,C_LDO_D,C_VMID1_4U7,C_VMID2_4U7",,C389010,4,20,20,14909,OK,C389010,expand,14929,GRM188Z71C475KE21D,Murata Electronics,0603,0.0905
C53283916 prelayout exact-code probe,"U_ISO1,U_ISO2,U_ISO3,U_ISO4,U_ISO5,U_ISO6,U_ISO7,U_ISO8",,C53283916,8,40,40,-24,LOW_STOCK(16),C53283916,expand,16,TMUX2821DSGR,Texas Instruments,SON-8(2x2),1.3144
C597579 prelayout exact-code probe,"C_BUCK_IN,C_BUCK_IN2,C_BUCK_IN3",,C597579,3,15,15,2909,OK,C597579,expand,2924,12105C106K4Z2A,--,1210,0.6247
C60490 prelayout exact-code probe,"R_ADC_PD1N,R_ADC_PD1P,R_ADC_PD2N,R_ADC_PD2P,R_ADC_PD3N,R_ADC_PD3P,R_ADC_PD4N,R_ADC_PD4P,R_ADC_PD5N,R_ADC_PD5P,R_ADC_PD6N,R_ADC_PD6P,R_ADC_PD7N,R_ADC_PD7P,R_ADC_PD8N,R_ADC_PD8P,R_AUDIO_PU,R_IN1N,R_IN1P,R_IN2N,R_IN2P,R_IN3N,R_IN3P,R_IN4N,R_IN4P,R_IN5N,R_IN5P,R_IN6N,R_IN6P,R_IN7N,R_IN7P,R_IN8N,R_IN8P,R_MCH_BCLK_PD,R_MCH_FSYNC_PD,R_MCH_MCLK_PD,R_MCH_SENSE_PD,R_PWR_PU,R_RESET_PU,R_TDM_PD",,C60490,40,200,200,7912136,OK,C60490,expand,7912336,RC0402FR-0710KL,YAGEO,0402,0.0033
C60491 prelayout exact-code probe,"R_AUDIO_PD,R_B1N,R_B1P,R_B2N,R_B2P,R_B3N,R_B3P,R_B4N,R_B4P,R_B5N,R_B5P,R_B6N,R_B6P,R_B7N,R_B7P,R_B8N,R_B8P,R_CFG5,R_DUMP_PD,R_DUMP_TIME1,R_DUMP_TIME2,R_PRE_G,R_QIN_G,R_RESET_GPD,R_RST_T",,C60491,25,125,125,5792277,OK,C60491,expand,5792402,RC0402FR-07100KL,YAGEO,0402,0.0035
C6076 prelayout exact-code probe,U_TDM_SCH,,C6076,1,5,5,3099,OK,C6076,expand,3104,"74LVC1G17GV,125",Nexperia,SC-74A,0.1343
C6937839 prelayout exact-code probe,L_BUCK,,C6937839,1,5,5,1495,OK,C6937839,expand,1500,XGL4020-332MEC,Coilcraft,"SMD,4x4mm",10.2547
C705768 prelayout exact-code probe,R_LDO_SET,,C705768,1,5,5,138453,OK,C705768,expand,138458,RT0603BRD0733KL,YAGEO,0603,0.0371
C7452883 prelayout exact-code probe,U_LDO,,C7452883,1,5,5,-5,LOW_STOCK(0),C7452883,expand,0,LT3041ADE#TRPBF,Analog Devices,DFN-14-EP(3x4),11.2161
