Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
C113480 prelayout exact-code probe,R1,,C113480,1,10,10,50774,OK,C113480,expand,50784,0402WGF3243TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0024
C131394 prelayout exact-code probe,C2,,C131394,1,10,10,8878844,OK,C131394,expand,8878854,CC0402KRX7R9BB104,YAGEO,0402,0.0104
C15195 prelayout exact-code probe,"C3,C4",,C15195,2,20,20,7795778,OK,C15195,base,7795798,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,0.0053
C1525 prelayout exact-code probe,"C10,C6",,C1525,2,20,20,34624218,OK,C1525,base,34624238,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0051
C15849 prelayout exact-code probe,C8,,C15849,1,10,10,9513199,OK,C15849,base,9513209,CL10A105KB8NNNC,Samsung Electro-Mechanics,0603,0.0058
C15850 prelayout exact-code probe,"C11,C5,C9",,C15850,3,30,30,8143655,OK,C15850,base,8143685,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,0.0862
C16430 prelayout exact-code probe,U2,,C16430,1,10,10,19144,OK,C16430,expand,19154,TPS7A4901DGNR,Texas Instruments,HVSSOP-8,1.5235
C17408 prelayout exact-code probe,"R12,R13",,C17408,2,20,20,9582359,OK,C17408,base,9582379,0805W8F1000T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0044
C17614 prelayout exact-code probe,R3,,C17614,1,10,10,335686,OK,C17614,base,335696,0805W8F3901T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0027
C17936 prelayout exact-code probe,R14,,C17936,1,10,10,3801054,OK,C17936,base,3801064,1206W4F4701T5E,UNI-ROYAL(Uniroyal Elec),1206,0.0095
C194142 prelayout exact-code probe,F1,,C194142,1,10,10,29872,OK,C194142,expand,29882,0ZCJ0010FF2E,Bel Fuse,1206,0.1376
C1972959 prelayout exact-code probe,U3,,C1972959,1,10,10,9336,OK,C1972959,expand,9346,TPD2E2U06DRLR,Texas Instruments,SOT-553-5,0.3218
C25741 prelayout exact-code probe,"R2,R5",,C25741,2,20,20,13181939,OK,C25741,base,13181959,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0028
C25762 prelayout exact-code probe,R9,,C25762,1,10,10,696284,OK,C25762,expand,696294,0402WGF1802TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0024
C25768 prelayout exact-code probe,"R6,R7,R8",,C25768,3,30,30,1025667,OK,C25768,base,1025697,0402WGF2202TCE,UNI-ROYAL(Uniroyal Elec),0402,0.004
C25879 prelayout exact-code probe,R4,,C25879,1,10,10,1701466,OK,C25879,base,1701476,0402WGF2201TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0039
C2878631 prelayout exact-code probe,U1,,C2878631,1,10,10,2859,OK,C2878631,expand,2869,OPA1679IDR,Texas Instruments,SOIC-14,0.9654
C2972759 prelayout exact-code probe,D1,,C2972759,1,10,10,6809,OK,C2972759,expand,6819,1N4007(M7)SMA,Shenzhen Jinkaisheng Elec,SMA,0.0153
C60490 prelayout exact-code probe,"R10,R11",,C60490,2,20,20,9611645,OK,C60490,expand,9611665,RC0402FR-0710KL,YAGEO,0402,0.0037
C77102 prelayout exact-code probe,C1,,C77102,1,10,10,132731,OK,C77102,expand,132741,GRM32ER71H106KA12L,Murata Electronics,1210,0.3271
C83846 prelayout exact-code probe,D2,,C83846,1,10,10,22853,OK,C83846,expand,22863,SMBJ15A,Littelfuse,DO-214AA,0.117
C84455 prelayout exact-code probe,C7,,C84455,1,10,10,47194,OK,C84455,expand,47204,GRM32ER61A107ME20L,Murata Electronics,1210,0.8989
