Comment,Designator,Footprint,LCSC,qty,required_qty,stock_threshold,absolute_surplus,status,code,type,stock,mpn,manufacturer,pkg,price
0ZCJ0010FF2E,F1,Fuse_1206_3216Metric,C194142,1,10,160,24624,OK,C194142,expand,24634,0ZCJ0010FF2E,Bel Fuse,1206,0.138
100kΩ,"R2,R5",R_0402_1005Metric,C25741,2,20,170,11167298,OK,C25741,base,11167318,0402WGF1003TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0025
100nF,C2,C_0402_1005Metric,C131394,1,10,160,7540829,OK,C131394,expand,7540839,CC0402KRX7R9BB104,YAGEO,0402,0.01
100nF,"C10,C6",C_0402_1005Metric,C1525,2,20,170,30821540,OK,C1525,base,30821560,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,0.0045
100uF,C7,C_1210_3225Metric,C84455,1,10,160,20604,OK,C84455,expand,20614,GRM32ER61A107ME20L,Murata Electronics,1210,0.9012
100Ω,"R12,R13",R_0805_2012Metric,C17408,2,20,170,10007198,OK,C17408,base,10007218,0805W8F1000T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0045
10kΩ,"R10,R11",R_0402_1005Metric,C60490,2,20,170,8896701,OK,C60490,expand,8896721,RC0402FR-0710KL,YAGEO,0402,0.0033
10nF,"C3,C4",C_0402_1005Metric,C15195,2,20,170,5608456,OK,C15195,base,5608476,CL05B103KB5NNNC,Samsung Electro-Mechanics,0402,0.005
10uF,"C11,C5,C9",C_0805_2012Metric,C15850,3,30,180,6564557,OK,C15850,base,6564587,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,0.0843
10uF,C1,C_1210_3225Metric,C77102,1,10,160,106661,OK,C77102,expand,106671,GRM32ER71H106KA12L,Murata Electronics,1210,0.328
18kΩ,R9,R_0402_1005Metric,C25762,1,10,160,630958,OK,C25762,expand,630968,0402WGF1802TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0015
1uF,C8,C_0603_1608Metric,C15849,1,10,160,7559790,OK,C15849,base,7559800,CL10A105KB8NNNC,Samsung Electro-Mechanics,0603,0.0171
2.2kΩ,R4,R_0402_1005Metric,C25879,1,10,160,1137839,OK,C25879,base,1137849,0402WGF2201TCE,UNI-ROYAL(Uniroyal Elec),0402,0.004
22kΩ,"R6,R7,R8",R_0402_1005Metric,C25768,3,30,180,850529,OK,C25768,base,850559,0402WGF2202TCE,UNI-ROYAL(Uniroyal Elec),0402,0.004
3.9kΩ,R3,R_0805_2012Metric,C17614,1,10,160,285987,OK,C17614,base,285997,0805W8F3901T5E,UNI-ROYAL(Uniroyal Elec),0805,0.0027
324kΩ,R1,R_0402_1005Metric,C113480,1,10,160,48092,OK,C113480,expand,48102,0402WGF3243TCE,UNI-ROYAL(Uniroyal Elec),0402,0.0022
4.7kΩ,R14,R_1206_3216Metric,C17936,1,10,160,3582158,OK,C17936,base,3582168,1206W4F4701T5E,UNI-ROYAL(Uniroyal Elec),1206,0.0095
OPA1679IDR,U1,TI_OPA1679_SOIC-14_D,C2878631,1,10,160,2612,OK,C2878631,expand,2622,OPA1679IDR,Texas Instruments,SOIC-14,0.9679
S1M-E3/61T,D1,Vishay_S1M_SMA,C144860,1,10,160,199990,OK,C144860,expand,200000,S1M-E3/61T,Vishay Intertech,SMA(DO-214AC),0.0386
SMBJ15A,D2,Littelfuse_SMBJ15A_SMB,C83846,1,10,160,18025,OK,C83846,expand,18035,SMBJ15A,Littelfuse,DO-214AA,0.131
TPD2E2U06DRLR,U3,TI_TPD2E2U06_DRL,C1972959,1,10,160,8948,OK,C1972959,expand,8958,TPD2E2U06DRLR,Texas Instruments,SOT-553-5,0.3226
TPS7A4901DGNR,U2,TI_TPS7A4901_DGN0008D,C16430,1,10,160,13034,OK,C16430,expand,13044,TPS7A4901DGNR,Texas Instruments,HVSSOP-8,1.4771
