Designator,Val,Package,Mid X,Mid Y,Layer,Rotation
C_ADC_CM1N,1nF,C_0402_1005Metric,94.25,-62.65,top,90.0
C_ADC_CM1P,1nF,C_0402_1005Metric,93.0,-62.65,top,90.0
C_ADC_CM2N,1nF,C_0402_1005Metric,94.25,-64.8,top,90.0
C_ADC_CM2P,1nF,C_0402_1005Metric,93.0,-64.8,top,90.0
C_ADC_CM3N,1nF,C_0402_1005Metric,100.65,-64.8,top,90.0
C_ADC_CM3P,1nF,C_0402_1005Metric,99.4,-64.8,top,90.0
C_ADC_CM4N,1nF,C_0402_1005Metric,102.35,-65.3,top,0.0
C_ADC_CM4P,1nF,C_0402_1005Metric,102.35,-66.6,top,0.0
C_ADC_CM5N,1nF,C_0402_1005Metric,94.45,-77.35,top,270.0
C_ADC_CM5P,1nF,C_0402_1005Metric,93.0,-77.35,top,270.0
C_ADC_CM6N,1nF,C_0402_1005Metric,94.25,-75.2,top,270.0
C_ADC_CM6P,1nF,C_0402_1005Metric,93.0,-75.2,top,270.0
C_ADC_CM7N,1nF,C_0402_1005Metric,100.65,-75.2,top,270.0
C_ADC_CM7P,1nF,C_0402_1005Metric,99.4,-75.2,top,270.0
C_ADC_CM8N,1nF,C_0402_1005Metric,100.25,-77.2,top,270.0
C_ADC_CM8P,1nF,C_0402_1005Metric,101.9,-75.2,top,270.0
C_AUDIO,100nF,C_0402_1005Metric,35.5,-59.6,top,0.0
C_AUDIO_CT1,1uF,C_0603_1608Metric,30.0,-59.3,top,180.0
C_AUDIO_CT2,1uF,C_0603_1608Metric,30.0,-61.1,top,180.0
C_BUCK_BST,100nF,C_0402_1005Metric,44.0,-62.95,top,0.0
C_BUCK_IN,10uF,C_1210_3225Metric,37.3,-66.0,top,180.0
C_BUCK_IN2,10uF,C_1210_3225Metric,37.3,-62.5,top,180.0
C_BUCK_IN3,10uF,C_1210_3225Metric,37.3,-69.5,top,180.0
C_BUCK_O1,47uF,C_1210_3225Metric,51.9,-65.9,top,0.0
C_BUCK_O2,47uF,C_1210_3225Metric,51.9,-69.4,top,0.0
C_BUCK_O3,47uF,C_1210_3225Metric,51.9,-72.9,top,0.0
C_CLK,100nF,C_0402_1005Metric,163.5,-56.2,top,0.0
C_DUMP_LOGIC,100nF,C_0402_1005Metric,53.8,-75.3,top,180.0
C_DUMP_TIME,15nF,C_0805_2012Metric,54.0,-78.3,top,0.0
C_FB1N,680pF,C_0402_1005Metric,45.05,-47.0,top,90.0
C_FB1P,680pF,C_0402_1005Metric,35.95,-45.75,top,90.0
C_FB2N,680pF,C_0402_1005Metric,77.05,-47.0,top,90.0
C_FB2P,680pF,C_0402_1005Metric,67.95,-45.75,top,90.0
C_FB3N,680pF,C_0402_1005Metric,109.05,-47.0,top,90.0
C_FB3P,680pF,C_0402_1005Metric,99.95,-45.75,top,90.0
C_FB4N,680pF,C_0402_1005Metric,141.05,-47.0,top,90.0
C_FB4P,680pF,C_0402_1005Metric,131.95,-45.75,top,90.0
C_FB5N,680pF,C_0402_1005Metric,35.95,-93.0,top,270.0
C_FB5P,680pF,C_0402_1005Metric,45.05,-94.25,top,270.0
C_FB6N,680pF,C_0402_1005Metric,67.95,-93.0,top,270.0
C_FB6P,680pF,C_0402_1005Metric,77.05,-94.25,top,270.0
C_FB7N,680pF,C_0402_1005Metric,99.95,-93.0,top,270.0
C_FB7P,680pF,C_0402_1005Metric,109.05,-94.25,top,270.0
C_FB8N,680pF,C_0402_1005Metric,131.95,-93.0,top,270.0
C_FB8P,680pF,C_0402_1005Metric,141.05,-94.25,top,270.0
C_FILT1_10U,10uF,C_0805_2012Metric,96.75,-62.55,top,0.0
C_FILT1_1U,1uF,C_0603_1608Metric,96.6,-64.6,top,0.0
C_FILT2_10U,10uF,C_0805_2012Metric,96.75,-77.45,top,0.0
C_FILT2_1U,1uF,C_0603_1608Metric,96.6,-75.4,top,0.0
C_FILTER1N1,15nF,C_0805_2012Metric,46.3,-51.4,top,0.0
C_FILTER1N2,15nF,C_0805_2012Metric,46.3,-53.5,top,0.0
C_FILTER1P1,15nF,C_0805_2012Metric,34.7,-51.4,top,180.0
C_FILTER1P2,15nF,C_0805_2012Metric,34.7,-53.5,top,180.0
C_FILTER2N1,15nF,C_0805_2012Metric,78.3,-51.4,top,0.0
C_FILTER2N2,15nF,C_0805_2012Metric,78.3,-53.5,top,0.0
C_FILTER2P1,15nF,C_0805_2012Metric,66.7,-51.4,top,180.0
C_FILTER2P2,15nF,C_0805_2012Metric,66.7,-53.5,top,180.0
C_FILTER3N1,15nF,C_0805_2012Metric,110.3,-51.4,top,0.0
C_FILTER3N2,15nF,C_0805_2012Metric,110.3,-53.5,top,0.0
C_FILTER3P1,15nF,C_0805_2012Metric,98.7,-51.4,top,180.0
C_FILTER3P2,15nF,C_0805_2012Metric,98.7,-53.5,top,180.0
C_FILTER4N1,15nF,C_0805_2012Metric,142.3,-51.4,top,0.0
C_FILTER4N2,15nF,C_0805_2012Metric,142.3,-53.5,top,0.0
C_FILTER4P1,15nF,C_0805_2012Metric,130.7,-51.4,top,180.0
C_FILTER4P2,15nF,C_0805_2012Metric,130.7,-53.5,top,180.0
C_FILTER5N1,15nF,C_0805_2012Metric,34.7,-88.6,top,180.0
C_FILTER5N2,15nF,C_0805_2012Metric,34.7,-86.5,top,180.0
C_FILTER5P1,15nF,C_0805_2012Metric,46.3,-88.6,top,0.0
C_FILTER5P2,15nF,C_0805_2012Metric,46.3,-86.5,top,0.0
C_FILTER6N1,15nF,C_0805_2012Metric,66.7,-88.6,top,180.0
C_FILTER6N2,15nF,C_0805_2012Metric,66.7,-86.5,top,180.0
C_FILTER6P1,15nF,C_0805_2012Metric,78.3,-88.6,top,0.0
